# map file
# Format: waterfowl, virus, longitude, latitude
# An influenza variant: "mutated while in the waterfowl creating a new variant that is capable from jumping from waterfowl to seals".  
# http://www.healthmap.org/site/diseasedaily/article/baby-seals-die-new-influenza-variant-not-bird-flu-8112
Mallard,H3N8,48.37030556,-95.91084167
Mallard,H3N8,48.398342,-95.996197
Mallard,H3N8,48.398342,-95.996197
Mallard,H3N8,48.398342,-95.996197
Mallard,H3N8,48.398342,-95.996197
Environment,H3N8,48.398342,-95.996197
Blue-Winged Teal,H3N8,28.97257778,-95.44598333
Blue-Winged Teal,H3N8,28.97257778,-95.44598333
Blue-Winged Teal,H3N8,28.97257778,-95.44598333
Blue-Winged Teal,H3N8,28.97257778,-95.44598333
Blue-Winged Teal,H3N8,28.97257778,-95.44598333
Blue-Winged Teal,H3N8,28.97257778,-95.44598333
Blue-Winged Teal,H3N8,28.97257778,-95.44598333
Blue-Winged Teal,H3N8,29.9704,-93.360297
Ruddy Turnstone,H3N8,39.124431,-74.891447
Ruddy Turnstone,H3N8,39.2367809,-75.1732416
Mallard,H3N8,48.543739,-95.970553
Least Sandpiper,H3N8,28.2336191,-96.9002659
Mallard,H3N8,48.95833,-96.1
Mallard,H3N8,48.95833,-96.1
Mallard,H3N8,48.95833,-96.1
Mallard,H3N8,48.499281,-95.926203
